"","ID","log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumHBondDonors","NumOfConf","parentspecies","hydroxyl..alkyl.","ketone","carboxylic.acid","carbonylperoxynitrate","hydroperoxide","carbonylperoxyacid"
"618",727,-3.85177490404889,206.006267152,20,6,8,2,89,"toluene",0,1,1,0,1,0
"619",730,-9.13332860174633,279.059030996,32,9,9,2,254,"apin",0,0,1,0,0,1
"620",731,-2.82904240925943,280.965524536,22,6,12,1,81,"toluene",0,2,1,1,0,0
"621",733,-7.95568448652783,251.064116376,30,8,8,3,282,"apin",2,0,1,0,0,0
"622",734,-10.6742918521652,343.997552936,31,7,14,3,474,"toluene",0,0,1,0,1,1
"623",736,-3.42337620107353,209.017166184,21,5,8,2,134,"toluene",0,0,1,0,1,0
"624",737,-8.23338165364828,312.991739284,28,7,13,3,215,"toluene",0,0,0,0,1,2
"625",738,-7.29001175050358,269.001910044,25,6,11,3,480,"toluene",1,0,1,0,1,0
"626",739,1.02221469335946,176.990951436,15,4,7,1,14,"toluene",0,1,0,0,1,0
"627",741,-12.4610067837844,234.001181772,22,7,9,3,103,"toluene",0,1,2,0,1,0
"628",743,-8.62760769516613,237.012080804,23,6,9,2,64,"toluene",1,0,1,0,0,0
"629",744,0.367280061211431,128.010958608,13,5,4,1,3,"toluene",1,0,0,0,0,0
"630",745,-9.72930344698516,291.059030996,33,10,9,2,491,"apin",1,1,1,0,0,0
"631",746,-5.41366626382783,255.022645488,26,6,10,3,286,"toluene",2,0,0,0,1,0
"632",748,-7.14595644822552,342.054673888,37,9,12,2,582,"apin",0,1,0,0,1,1
"633",749,-2.58078611614588,234.99643074,21,6,9,1,79,"toluene",0,0,0,0,1,0
"634",751,2.00233183824012,192.985866056,16,4,8,1,11,"toluene",1,0,0,1,0,0
"635",753,-4.96247815897568,254.98625998,22,5,11,3,129,"toluene",0,0,1,0,1,1
"636",754,-2.36005715391574,196.021917216,21,5,8,4,439,"toluene",2,0,0,0,2,0
"637",756,-2.09959056064942,235.069201756,29,8,7,1,69,"apin",0,2,0,0,1,0
"638",757,-5.0607833853738,175.995702468,16,5,7,2,28,"toluene",1,2,0,0,0,1
"639",758,-6.07354166943925,246.073952788,31,10,7,2,127,"apin",0,3,0,0,2,0
"640",759,-5.38538724561826,210.001181772,20,5,9,3,217,"toluene",0,0,0,0,3,0
"641",760,-6.88709913787895,283.053945616,32,8,10,3,431,"apin",1,1,0,0,1,1
"642",761,-8.03341970458989,235.032816248,25,7,8,2,234,"apin_toluene",0,1,1,0,1,0
"643",762,-5.56140268370466,281.001910044,26,7,11,2,116,"toluene",0,2,1,0,1,0
"644",763,-2.16057641258743,160.073558864,23,7,4,1,54,"decane",0,1,0,0,1,0
"645",764,-3.32897997025552,327.966252808,26,6,14,2,94,"toluene",1,2,0,0,0,1
"646",765,1.67840839074046,179.0066015,17,4,7,1,15,"toluene",0,0,0,0,0,1
"647",767,-4.59842033307859,200.104858992,30,10,4,2,6,"apin",1,1,0,0,1,0
"648",768,-5.40014557428587,221.017166184,22,6,8,2,135,"toluene",1,0,1,0,0,0
"649",769,-6.271474463845,270.9811746,23,5,12,3,329,"toluene",0,0,1,0,1,1
"650",770,-8.75716638061164,266.98625998,23,6,11,4,25,"toluene",3,2,0,0,1,0
"651",772,-7.07772433617972,263.064116376,31,9,8,1,218,"apin",0,2,0,0,1,0
"652",773,-8.17783344151754,269.001910044,25,6,11,3,312,"toluene",0,0,0,0,2,1
"653",774,-9.72370100876429,222.073952788,29,8,7,3,584,"decane",1,1,0,0,1,1
"654",777,-8.27595516143745,251.027730868,26,7,9,2,64,"toluene",1,0,0,0,0,1
"655",778,-4.69697578721329,222.001181772,21,6,9,2,59,"toluene",0,3,0,0,2,0
"656",779,-9.55140075697471,299.012474728,29,7,12,4,702,"toluene",2,0,1,0,1,0
"657",781,-2.70591705013822,224.016831836,23,6,9,2,122,"toluene",0,1,0,0,1,1
"658",782,-8.05803719030405,206.04265266,24,7,7,3,431,"apin",1,1,1,0,1,0
"659",784,-7.51861336098354,279.059030996,32,9,9,2,497,"apin",0,1,1,0,1,0
"660",785,-6.80259171748361,269.001910044,25,6,11,3,268,"toluene",1,0,1,1,1,0
"661",786,-2.41031511158755,208.021917216,22,6,8,3,170,"toluene",2,0,0,0,1,0
"662",788,-3.85827984619507,277.043380932,30,9,9,1,144,"decane",0,3,0,0,0,1
"663",789,-6.62940992366962,196.021917216,21,5,8,3,180,"toluene",0,1,0,0,3,0
"664",790,-4.29493405722327,266.98625998,23,6,11,2,110,"toluene",0,1,1,1,1,0
"665",791,-6.2597660066988,254.075015408,31,7,8,2,348,"decane",2,0,0,0,0,0
"666",792,-4.91852802140736,249.012080804,24,7,9,3,33,"toluene",3,2,0,0,0,0
"667",793,-3.79955634838996,166.011352532,17,4,7,3,215,"toluene",1,1,0,0,2,0
"668",794,-7.9282993776543,180.027002596,20,5,7,4,386,"toluene",2,0,1,0,1,0
"669",795,-1.65970706450393,204.985866056,17,5,8,1,30,"toluene",0,2,0,0,0,1
"670",796,-2.13655435548819,255.981508948,21,4,11,2,113,"toluene",0,0,1,0,0,1
"671",797,-2.06655746311539,177.027336944,19,5,6,1,63,"apin_decane",1,0,0,0,0,0
"672",799,-8.16903140467921,220.021917216,23,7,8,3,84,"toluene",1,1,0,0,2,0
"673",801,-4.79377029796554,341.981902872,29,7,14,2,289,"toluene",1,1,0,1,1,0
"674",802,-7.91847994169525,299.012474728,29,7,12,4,281,"toluene",1,0,1,0,1,1
"675",803,-1.16467843073287,298.02845914,30,7,11,0,34,"apin",0,0,0,1,0,0
"676",804,-2.90345961443199,239.064116376,29,7,8,2,179,"decane",0,0,0,0,1,1
"677",805,-8.8521278293235,296.996824664,27,7,12,4,1018,"toluene",2,1,1,0,1,0
"678",806,-5.28065179365676,308.049194584,33,9,10,1,57,"apin",1,0,0,1,0,0
"679",807,3.30022669361686,150.016437912,16,4,6,3,14,"toluene",2,1,0,0,0,1
"680",808,-3.45510776640354,311.971338188,25,6,13,1,84,"toluene",0,0,0,1,1,0
"681",809,-6.610930873804,341.981902872,29,7,14,2,804,"toluene",0,2,2,0,0,0
"682",811,-4.86752436810388,178.04773804,22,6,6,2,166,"decane",0,2,0,0,2,0
"683",812,-7.75606433372052,359.992467556,32,7,15,3,359,"toluene",1,0,2,1,0,0
"684",813,-6.65136653184807,296.996824664,27,7,12,3,620,"toluene",1,0,1,0,1,0
"685",814,-11.0127604432983,283.017560108,28,7,11,4,216,"toluene",3,1,1,0,0,0
"686",815,-6.84129834998953,281.001910044,26,7,11,3,315,"toluene",1,0,0,0,1,1
"687",816,-0.436268500242541,144.042258736,18,6,4,1,13,"apin",1,2,0,0,0,0
"688",817,-6.34286572241787,217.022251564,22,7,7,2,27,"toluene",0,0,2,0,0,0
"689",818,-2.62546128046621,292.090665472,36,10,8,0,65,"decane",0,2,0,0,0,0
"690",819,-5.40315054542565,207.00151612,19,5,8,3,67,"toluene",2,0,1,0,0,0
"691",821,-2.40664654493729,225.970944264,17,3,10,2,30,"toluene",0,0,2,0,0,0
"692",822,-6.35436526374696,265.116151948,37,10,7,2,373,"decane",1,1,0,0,1,0
"693",824,-6.27486321196517,239.027730868,25,6,9,3,449,"apin",1,1,1,0,1,0
"694",825,-7.70356328569232,269.038295552,29,7,10,3,759,"apin",1,0,1,1,1,0
"695",826,-8.87776788006832,220.021917216,23,7,8,3,218,"toluene",3,1,0,0,0,0
"696",827,-2.49970606700669,307.976423568,25,7,12,1,47,"toluene",0,4,0,0,0,1
"697",828,-8.27403806266352,204.063388104,26,8,6,2,225,"apin",1,2,0,0,1,0
"698",829,-0.632076815081635,209.017166184,21,5,8,2,47,"toluene",1,1,0,0,1,0
"699",831,-9.39900777833133,281.001910044,26,7,11,3,218,"toluene",2,0,1,0,0,0
"700",832,-2.11177209659831,272.012809076,26,5,11,1,188,"apin",0,0,0,0,1,0
"701",833,-2.80452389791404,328.002638316,30,7,13,4,39,"toluene",3,1,0,0,1,0
"702",836,-11.529862243759,254.02739652,27,7,10,5,482,"toluene",3,0,0,0,1,1
"703",839,-10.4978471332226,264.084517472,34,10,8,3,780,"apin",1,2,0,0,2,0
"704",840,-5.49351357220287,300.044109204,32,7,11,2,349,"apin",0,0,0,0,2,0
"705",841,-6.84345735632661,296.996824664,27,7,12,3,202,"toluene",1,1,1,1,1,0
"706",843,-8.32611550742659,283.017560108,28,7,11,3,378,"toluene",0,0,1,0,2,0
"707",844,-3.22505718317928,239.027730868,25,6,9,2,240,"apin",1,0,0,1,1,0
"708",845,-6.01109555202268,345.976817492,29,6,15,3,268,"toluene",1,0,0,1,1,1
"709",846,-5.34591878619822,263.064116376,31,9,8,1,184,"apin",0,1,0,0,1,0
"710",848,-3.90170540417338,175.01168688,17,5,6,1,18,"toluene",1,0,0,0,0,0
"711",849,-8.35601295763326,329.981902872,28,6,14,3,641,"toluene",0,0,1,0,2,0
"712",850,-4.47040205459494,176.032087976,20,6,6,2,43,"toluene",0,0,1,0,1,0
"713",851,-8.54215982628519,341.981902872,29,7,14,2,353,"toluene",0,0,0,1,2,0
"714",852,-8.33673499302113,249.996096392,23,7,10,3,145,"toluene",2,2,0,0,0,1
"715",853,-9.65644408432825,373.971732112,31,7,16,4,333,"toluene",3,1,0,1,0,1
"716",854,0.150950947988394,192.985866056,16,4,8,1,13,"toluene",0,0,0,1,1,0
"717",855,-5.69643531576489,294.9811746,25,7,12,2,316,"toluene",0,0,1,1,1,0
"718",856,-8.59035139731056,204.027002596,22,7,7,3,102,"toluene",1,0,1,0,0,1
"719",857,-2.10858869417227,237.012080804,23,6,9,2,84,"toluene",0,0,0,0,1,1
"720",858,-8.40235806756563,328.002638316,30,7,13,3,108,"toluene",2,1,0,0,1,0
"721",860,-11.9269673541382,224.016831836,23,6,9,5,304,"toluene",3,0,1,0,1,0
"722",861,-10.156460929415,297.992073632,26,6,12,3,212,"toluene",2,0,0,0,1,0
"723",862,-8.52778339236683,357.976817492,30,7,15,3,434,"toluene",2,2,0,1,0,1
"724",863,-4.01436560582283,282.9811746,24,6,12,3,484,"toluene",2,3,0,1,1,0
"725",864,-3.69313063193167,219.037901628,24,7,7,1,49,"toluene",1,0,0,0,0,0
"726",865,-4.76257038125152,222.99643074,20,5,9,2,80,"toluene",0,0,1,0,1,0
"727",866,-13.9141061229806,315.007389348,30,7,13,4,590,"toluene",1,0,1,0,1,1
"728",867,-7.05723769377853,314.059759268,35,8,11,3,664,"apin",2,1,0,0,1,0
"729",868,-8.65210806062938,262.99134536,23,7,10,2,46,"toluene",0,0,0,0,0,2
"730",869,1.81341646783475,295.976423568,24,6,12,0,20,"toluene",0,1,0,1,0,0
"731",871,-4.85773824814001,207.00151612,19,5,8,2,29,"toluene",1,0,0,0,0,1
"732",872,-4.38550356553924,187.995702468,17,6,7,1,14,"toluene",0,2,0,0,1,0
"733",873,-4.18786745174312,295.053945616,33,9,10,2,171,"apin",1,1,0,1,0,1
"734",874,-10.6709832522052,249.996096392,23,7,10,4,310,"toluene",2,1,2,0,0,0
"735",875,-4.27668399984125,239.027730868,25,6,9,2,387,"apin",0,2,0,0,2,0
"736",876,-1.34926034962504,163.995702468,15,4,7,2,23,"toluene",0,1,0,0,1,1
"737",877,-5.15509879958244,331.997552936,30,6,14,3,572,"toluene",1,0,0,1,2,0
"738",878,-4.82477599492132,293.997159012,26,7,11,1,149,"toluene",1,2,0,0,0,0
"739",879,-14.4694701735166,252.011746456,25,7,10,5,302,"toluene",3,0,2,0,0,0
"740",880,-7.30308058940299,253.006995424,24,6,10,3,302,"toluene",2,0,1,0,0,0
"741",881,-4.53912603682272,237.048466312,27,7,8,2,123,"apin",0,1,1,0,1,0
"742",882,-5.95364373692852,279.059030996,32,9,9,2,398,"apin",0,2,1,0,1,0
"743",883,-0.817947452928047,225.012080804,22,5,9,1,71,"toluene",0,1,0,0,1,0
"744",884,-10.1064157615898,203.990617088,18,6,8,2,45,"toluene",0,0,0,0,1,1
"745",885,-8.72315093246437,312.991739284,28,7,13,4,69,"toluene",2,1,0,0,1,1
"746",886,-7.13637712476573,281.001910044,26,7,11,2,64,"toluene",0,2,0,0,1,1
"747",887,-5.63142139264101,282.9811746,24,6,12,3,83,"toluene",2,1,1,1,0,0
"748",888,-2.54751554239109,249.012080804,24,7,9,1,82,"toluene",1,0,0,0,0,0
"749",890,-5.91475302957144,316.002638316,29,6,13,2,296,"toluene",1,0,0,1,1,0
"750",891,1.0219748420017,221.017166184,22,6,8,2,246,"toluene",2,1,0,0,0,0
"751",893,-7.33681227768416,241.006995424,23,5,10,4,237,"toluene",2,0,1,0,1,0
"752",895,-5.01713978434635,247.069201756,30,9,7,1,110,"apin",0,1,1,0,0,0
"753",896,-8.98988775665264,218.006267152,21,7,8,3,76,"toluene",0,0,2,0,0,1
"754",897,-4.0527019843906,174.089208928,26,8,4,2,59,"apin",1,1,0,0,1,0
"755",898,-5.60194240611155,265.006995424,25,7,10,1,248,"toluene",1,2,0,0,0,0
"756",899,-0.614909275856333,312.007723696,29,7,12,1,79,"apin",0,1,0,1,0,1
"757",900,-5.66641287024887,206.079038168,28,8,6,2,83,"apin",0,0,1,0,1,0
"758",901,-10.5680231583324,299.012474728,29,7,12,4,402,"toluene",2,0,1,0,1,0
"759",902,-1.79702022704072,343.961167428,27,6,15,1,81,"toluene",0,2,0,1,0,1
"760",906,-9.54627582640752,279.095416504,36,10,8,2,196,"decane",1,1,0,0,0,1
"761",909,-6.55112578797518,233.0899372,31,9,6,1,141,"decane",1,1,0,0,0,0
"762",910,-6.3955759360231,281.001910044,26,7,11,2,51,"toluene",0,0,0,1,1,1
"763",912,-5.32675633070846,250.99134536,22,6,10,2,307,"toluene",0,1,1,0,1,0
"764",913,-6.35063736737054,266.98625998,23,6,11,3,75,"toluene",2,0,0,1,0,1
"765",914,-4.16791253871205,310.02845914,31,8,11,1,193,"decane",1,2,0,1,0,0
"766",915,0.0472430068215577,311.971338188,25,6,13,1,61,"toluene",0,3,0,0,1,0
"767",916,-11.5252664701717,269.038295552,29,7,10,3,112,"apin",1,0,0,0,0,2
"768",917,-4.82796199048818,324.044109204,34,9,11,1,84,"apin",0,1,1,0,0,0
"769",919,-3.71162556685022,203.990617088,18,6,8,2,40,"toluene",1,1,1,0,0,0
"770",920,-11.1829085457363,237.996096392,22,6,10,4,236,"toluene",2,1,1,0,1,0
"771",921,0.0455130708514311,164.990951436,14,3,7,2,16,"toluene",1,0,0,0,0,1
"772",922,-8.01481512928297,265.006995424,25,7,10,2,143,"toluene",0,1,1,0,1,0
"773",923,-4.75737329520017,325.986988252,28,7,13,2,210,"toluene",0,2,1,0,1,0
"774",924,-4.92719958940908,206.04265266,24,7,7,2,338,"apin",0,2,0,0,2,0
"775",925,-7.6109060954813,300.991739284,27,6,13,4,634,"toluene",2,0,0,1,2,0
"776",926,-12.7595865123369,300.991739284,27,6,13,5,381,"toluene",3,0,1,0,1,0
"777",927,-8.42262419211743,250.99134536,22,6,10,4,331,"",2,2,2,0,0,0
"778",928,-4.42084885960578,190.011352532,19,6,7,2,151,"toluene",1,2,0,0,1,0
"779",929,-3.88574113043955,283.017560108,28,7,11,3,313,"apin",1,1,0,0,0,2
"780",931,-3.51306222945248,253.043380932,28,7,9,2,219,"apin",1,1,0,1,1,0
"781",932,-4.27509559867837,286.02845914,29,6,11,2,383,"decane",0,1,0,0,2,0
"782",934,-9.13984495741925,315.007389348,30,7,13,4,315,"toluene",2,0,0,1,1,1
"783",935,-5.74656041422851,180.099773612,28,7,5,3,278,"decane",1,0,0,0,2,0
"784",937,-7.52735643019605,235.069201756,29,8,7,2,469,"decane",2,1,0,0,0,0
"785",938,-4.9225806248912,250.99134536,22,6,10,2,156,"toluene",1,1,1,0,0,0
"786",939,-6.42600610197024,234.001181772,22,7,9,3,176,"toluene",3,2,0,0,0,0
"787",940,-7.50639181544113,252.011746456,25,7,10,4,72,"toluene",1,0,0,0,2,1
"788",941,-7.45855388829245,271.017560108,27,6,11,3,488,"toluene",1,0,0,0,2,0
"789",942,-10.9508239298137,238.0324819,26,7,9,4,379,"toluene",3,0,0,0,1,0
"790",944,-1.62662134992041,219.00151612,20,6,8,1,59,"toluene",1,2,0,0,0,0
"791",945,-3.95068158966889,313.986988252,27,6,13,2,377,"toluene",1,1,1,0,0,0
"792",946,-5.76179883200136,265.006995424,25,7,10,2,164,"toluene",1,1,1,0,0,0
"793",947,-6.92384065984217,315.007389348,30,7,13,3,305,"toluene",1,0,0,1,2,0
"794",948,-3.55984924660484,249.012080804,24,7,9,1,46,"toluene",0,2,0,0,0,1
"795",949,-8.61311509448304,240.011746456,24,6,10,4,315,"toluene",2,1,0,0,2,0
"796",950,-3.78331539712752,280.965524536,22,6,12,2,16,"toluene",1,2,0,0,0,1
"797",951,-8.97383080412046,252.011746456,25,7,10,3,120,"toluene",1,2,0,0,1,1
"798",952,-7.46743215657268,279.059030996,32,9,9,2,168,"apin",0,1,0,0,2,0
"799",953,-8.99965074290312,312.991739284,28,7,13,4,99,"toluene",3,1,0,1,1,0
"800",954,-5.45603586756796,341.981902872,29,7,14,2,299,"toluene",0,1,0,0,1,1
"801",955,0.728696445996255,216.985866056,18,6,8,0,14,"toluene",0,2,0,0,0,0
"802",957,-4.51272483354452,324.044109204,34,9,11,1,78,"apin",0,1,0,1,1,0
"803",958,-8.78680809682924,328.039023824,34,8,12,2,912,"apin",0,2,0,0,2,0
"804",959,-6.84051052006952,298.97608922,25,6,13,2,149,"toluene",0,1,0,1,1,1
"805",960,-5.95558192348069,328.002638316,30,7,13,2,235,"toluene",1,0,0,1,1,0
"806",962,-4.65787216705078,300.007723696,28,6,12,2,183,"toluene",1,0,0,0,1,0
"807",963,-8.22046132931048,249.996096392,23,7,10,3,315,"toluene",0,1,1,0,1,1
"808",964,-8.10388823501525,296.996824664,27,7,12,4,704,"toluene",3,0,1,0,0,0
"809",965,-3.37304939032776,130.026608672,15,5,4,1,16,"apin_toluene",1,2,0,0,0,0
"810",966,-9.14244706514319,315.007389348,30,7,13,5,875,"toluene",3,1,1,1,1,0
"811",968,-5.59929226331201,312.044109204,33,8,11,1,200,"apin",0,0,0,1,1,0
"812",969,-2.04639942279891,250.99134536,22,6,10,1,27,"toluene",0,1,0,1,1,0
"813",970,-7.87340974008779,368.033938444,37,10,13,2,780,"apin",0,2,1,0,0,1
"814",971,-13.2098412663549,237.996096392,22,6,10,4,126,"toluene",3,1,0,0,1,0
"815",973,-3.81215728635237,329.981902872,28,6,14,2,159,"toluene",1,2,0,1,1,0
"816",974,-6.73238729659128,222.001181772,21,6,9,2,344,"toluene",0,2,1,0,1,0
"817",976,-5.06721023054923,309.992073632,27,7,12,2,63,"toluene",1,1,1,0,0,0
"818",977,-2.15890993289065,269.038295552,29,7,10,2,119,"apin",0,1,0,0,2,0
"819",978,-5.67102970078917,266.0386299,28,7,9,1,264,"decane",1,1,0,0,0,0
"820",979,-2.57175570535111,174.05282342,22,7,5,1,46,"apin",0,2,0,0,1,0
"821",980,-5.13749158147071,234.99643074,21,6,9,2,69,"toluene",1,1,1,0,0,0
"822",982,-4.54270389724975,207.985531708,18,5,9,2,58,"toluene",0,3,0,0,2,0
"823",983,-12.2985420450391,283.017560108,28,7,11,4,605,"toluene",3,1,1,0,0,0
"824",984,-6.83387395218263,312.007723696,29,7,12,2,196,"toluene",0,0,1,0,0,1
"825",985,-0.214522885886476,248.975695296,20,6,10,1,38,"toluene",1,2,0,1,0,0
"826",986,-6.85910162640197,373.971732112,31,7,16,2,308,"toluene",0,2,0,1,2,0
"827",987,-7.95124455871893,188.032087976,21,7,6,2,65,"toluene",1,1,0,0,1,0
"828",988,-3.71640327342341,343.961167428,27,6,15,2,193,"toluene",0,1,1,1,1,0
"829",989,-10.0283925060661,309.06959568,36,10,10,2,429,"apin",0,1,0,0,1,1
"830",990,-2.26226124874258,262.99134536,23,7,10,1,176,"toluene",1,4,0,0,0,0
"831",992,-7.52593957943626,324.080494712,38,10,10,2,669,"apin",1,1,1,0,0,0
"832",993,-4.6353348553798,265.07976644,33,9,8,2,437,"apin",1,2,0,0,1,0
"833",995,-7.38533602762159,237.012080804,23,6,9,2,144,"toluene",1,1,0,0,1,0
"834",996,-3.97565197654353,269.001910044,25,6,11,2,244,"toluene",0,1,0,0,1,1
"835",998,-6.13501817569909,267.022645488,27,7,10,3,39,"toluene",2,1,0,0,1,0
"836",999,-6.55209284944852,223.032816248,24,6,8,3,234,"toluene",2,1,1,0,0,0
"837",1000,-0.708491399581644,237.048466312,27,7,8,2,77,"apin",1,1,0,0,0,1
"838",1001,-5.39216623164487,297.992073632,26,6,12,2,131,"toluene",1,0,1,1,0,0
"839",1002,0.550141798802271,191.0066015,18,5,7,1,8,"toluene",0,2,0,0,1,0
"840",1004,-9.01811685317094,265.006995424,25,7,10,3,259,"toluene",1,0,2,0,0,0
"841",1005,-3.6727363049972,194.006267152,19,5,8,2,180,"toluene",1,1,0,0,1,0
"842",1006,-3.7801846883728,280.965524536,22,6,12,2,22,"toluene",0,3,0,0,1,1
"843",1007,-8.153465778296,253.006995424,24,6,10,3,283,"toluene",1,1,1,0,1,0
"844",1009,-1.58362517810187,254.98625998,22,5,11,2,87,"toluene",1,1,0,1,1,0
"845",1010,-4.29595301773056,263.064116376,31,9,8,1,173,"decane",0,3,0,0,1,0
"846",1012,-4.01655756065829,194.006267152,19,5,8,3,174,"toluene",1,1,0,0,1,1
"847",1013,-2.8821271289956,150.016437912,16,4,6,2,37,"toluene",0,0,0,0,2,0
"848",1014,-6.79379039654289,281.997159012,25,6,11,3,16,"toluene",3,1,0,0,0,0
"849",1017,-7.26926483214,282.069930028,33,8,9,2,485,"decane",2,1,0,0,0,0
"850",1019,-4.51154683759741,309.992073632,27,7,12,1,293,"toluene",0,2,0,0,1,0
"851",1020,-6.54040459550679,249.996096392,23,7,10,2,671,"toluene",0,1,1,0,1,0
"852",1021,-4.27864759160379,207.00151612,19,5,8,2,107,"toluene",1,2,1,0,0,0
"853",1022,-4.05154535514091,249.012080804,24,7,9,2,31,"toluene",0,0,0,0,1,1
"854",1023,-6.60686669879505,311.048860236,34,9,11,2,179,"apin",0,1,0,1,1,1
"855",1024,-7.55833855239484,238.0324819,26,7,9,5,52,"toluene",4,1,0,0,1,0
"856",1025,-5.5810860248053,210.99643074,19,4,9,3,244,"toluene",1,0,1,0,1,0
"857",1026,-7.68193680758787,309.992073632,27,7,12,2,170,"toluene",2,0,0,0,0,0
"858",1027,-5.79482405145399,246.073952788,31,10,7,2,356,"apin",1,3,0,0,1,0
"859",1028,-6.72997504563291,219.985531708,19,6,9,2,56,"toluene",0,1,1,0,0,1
"860",1030,-5.30248622193295,328.002638316,30,7,13,2,147,"toluene",1,0,0,1,1,0
"861",1031,8.3086795364561,30.010564684,4,1,1,0,1,"apin_decane_toluene",0,0,0,0,0,0
"862",1033,-3.06905313620789,293.997159012,26,7,11,1,90,"toluene",0,1,1,0,0,0
"863",1034,-5.13851740968773,295.976423568,24,6,12,2,97,"toluene",1,0,0,1,1,0
"864",1035,-4.1637572085907,286.02845914,29,6,11,2,316,"decane",1,0,0,1,1,0
"865",1036,-8.55694709874667,237.996096392,22,6,10,4,92,"toluene",2,0,1,0,0,1
"866",1038,-5.63583492478687,284.996824664,26,6,12,3,340,"toluene",1,0,1,0,0,1
"867",1040,-2.54547510900327,312.007723696,29,7,12,1,316,"apin",0,1,0,1,1,0
"868",1041,-4.82051970602028,282.9811746,24,6,12,2,121,"toluene",1,0,0,1,0,1
"869",1042,-4.3310833516133,218.006267152,21,7,8,2,40,"toluene",1,0,0,0,0,1
"870",1043,0.393881501114403,204.985866056,17,5,8,1,28,"toluene",0,1,0,0,1,0
"871",1044,-6.59594380690537,219.00151612,20,6,8,2,50,"toluene",1,1,1,0,0,0
"872",1046,-1.34132067607988,266.98625998,23,6,11,1,135,"toluene",0,1,0,1,1,0
"873",1047,-4.67869884122646,311.048860236,34,9,11,2,406,"apin",0,2,0,1,2,0
"874",1048,-4.51591602425994,266.98625998,23,6,11,2,115,"toluene",0,1,0,0,1,1
"875",1049,-4.44792657215883,296.996824664,27,7,12,2,231,"toluene",0,1,1,1,1,0
"876",1050,-9.08572508561316,212.016831836,22,5,9,4,911,"toluene",1,0,1,0,2,0
"877",1051,-5.79476233577623,278.98625998,24,7,11,3,133,"toluene",2,2,1,0,0,0
"878",1052,-13.396393875124,254.02739652,27,7,10,4,336,"toluene",1,0,0,0,2,1
"879",1054,-6.09618948862844,253.043380932,28,7,9,2,333,"decane",0,2,0,0,2,0
"880",1055,-0.092452005782228,158.021523292,17,6,5,1,16,"toluene",0,2,0,0,1,0
"881",1056,-7.01698374232836,313.986988252,27,6,13,2,215,"toluene",0,2,1,0,1,0
"882",1057,-0.532878239427219,313.986988252,27,6,13,2,222,"toluene",1,1,0,1,1,0
"883",1058,-5.5267915715768,309.992073632,27,7,12,1,51,"toluene",0,2,0,0,0,1
"884",1059,-2.66048073150582,146.021523292,16,5,5,2,24,"toluene",1,0,0,0,0,1
"885",1061,-5.88610480068206,253.006995424,24,6,10,3,214,"toluene",1,0,1,0,1,0
"886",1062,-5.37204920210936,226.068867408,29,7,8,4,688,"apin",1,0,0,0,2,1
"887",1063,-7.3211800111053,219.00151612,20,6,8,2,61,"toluene",1,1,1,0,0,0
"888",1065,-8.67958700767236,248.089602852,33,10,7,3,93,"apin",1,1,0,0,2,0
"889",1067,-4.77260808405048,308.049194584,33,9,10,1,44,"apin",0,0,1,1,0,0
"890",1068,-2.35513324528463,269.997159012,24,5,11,2,125,"toluene",1,0,0,0,1,0
"891",1069,-4.8873861216569,270.9811746,23,5,12,3,299,"toluene",1,1,0,1,1,1
"892",1070,-4.14062084200201,293.997159012,26,7,11,1,20,"toluene",1,1,0,1,0,0
"893",1071,-7.32950153810456,219.985531708,19,6,9,2,55,"toluene",0,3,1,0,1,0
"894",1072,-10.606928394886,271.017560108,27,6,11,4,535,"toluene",3,1,0,1,1,0
"895",1074,-5.88487201060164,224.016831836,23,6,9,3,575,"toluene",2,1,0,0,1,0
"896",1076,-9.11100975183028,326.096144776,40,10,10,2,442,"decane",1,1,0,0,1,0
"897",1077,-7.46155853082084,345.976817492,29,6,15,3,451,"toluene",2,0,0,1,0,1
"898",1078,-6.16229134292364,283.017560108,28,7,11,3,427,"apin",0,0,1,0,1,1
"899",1080,-5.90722554116927,225.996096392,21,5,10,3,194,"toluene",1,2,0,0,1,1
"900",1081,-0.913359065578203,329.981902872,28,6,14,1,129,"toluene",0,1,0,1,0,1
"901",1082,-6.86847314119126,299.012474728,29,7,12,4,379,"toluene",1,0,0,0,2,1
"902",1084,-2.29074635317782,204.063388104,26,8,6,2,40,"apin",0,1,0,0,1,1
"903",1085,-9.06248995650615,315.007389348,30,7,13,4,519,"toluene",2,0,0,1,2,0
"904",1087,-16.1442559916258,253.006995424,24,6,10,4,47,"toluene",2,0,0,0,2,0
"905",1088,-5.83146987480476,368.033938444,37,10,13,2,183,"apin",1,2,0,1,1,0
"906",1089,-3.85782368460605,328.002638316,30,7,13,2,232,"toluene",1,0,0,1,1,0
"907",1090,-2.20129645826881,271.976423568,22,4,12,2,26,"toluene",1,0,0,0,0,1
"908",1091,-8.01607813637738,295.053945616,33,9,10,2,649,"apin",0,2,0,0,2,0
"909",1093,-6.59027082367911,312.044109204,33,8,11,2,500,"apin",0,1,1,0,1,0
"910",1095,-10.0528268509155,248.089602852,33,10,7,2,169,"apin",0,1,0,0,1,1
"911",1096,-5.02615097599281,312.007723696,29,7,12,2,389,"toluene",0,0,1,0,1,0
"912",1097,-4.74227088212321,233.053551692,27,8,7,1,224,"decane",1,2,0,0,0,0
